in-store_num,region_num,TransactionType,RegionName,Age,AgeGroup,ItemsPerPurchcase,AmountGroup,AmountPerPurchase,AmountPerItem
0,2,online,South,66,62-85,1,5-285,65.619,65.62
0,4,online,West,30,18-30,1,583-1233,1046.9,1046.90
0,2,online,South,39,31-45,7,5-285,221.3,31.61
1,1,in-store,North,27,18-30,4,583-1233,961.23,240.31
0,2,online,South,38,31-45,1,286-582,336.44,336.44
0,2,online,South,69,62-85,4,5-285,213.62,53.41
0,2,online,South,81,62-85,4,286-582,324.98,81.25
1,1,in-store,North,26,18-30,4,5-285,200.27,50.07
0,2,online,South,65,62-85,2,5-285,204.67,102.34
0,2,online,South,35,31-45,2,5-285,168.86,84.43
1,3,in-store,East,61,46-61,7,5-285,240.27,34.32
1,4,in-store,West,44,31-45,4,583-1233,1143.4,285.85
0,3,online,East,62,62-85,7,1234-3000,2591.3,370.19
1,4,in-store,West,51,46-61,2,1234-3000,1656.4,828.20
1,3,in-store,East,49,46-61,4,5-285,172.17,43.04
0,2,online,South,78,62-85,6,286-582,469.96,78.33
1,1,in-store,North,40,31-45,2,583-1233,748.35,374.18
0,2,online,South,30,18-30,4,5-285,46.862,11.72
1,3,in-store,East,38,31-45,5,5-285,91.63,18.33
0,2,online,South,29,18-30,3,5-285,39.771,13.26
1,4,in-store,West,44,31-45,3,583-1233,1123.5,374.50
0,2,online,South,47,46-61,3,5-285,13.577,4.53
1,4,in-store,West,41,31-45,1,1234-3000,1355.9,1355.90
0,4,online,West,59,46-61,2,1234-3000,1299.2,649.60
1,3,in-store,East,42,31-45,7,583-1233,698.67,99.81
1,1,in-store,North,26,18-30,4,583-1233,803.38,200.85
1,4,in-store,West,28,18-30,2,583-1233,1057,528.50
1,1,in-store,North,45,31-45,3,286-582,532.4,177.47
1,3,in-store,East,53,46-61,2,286-582,500.85,250.43
0,4,online,West,20,18-30,5,583-1233,991.58,198.32
0,2,online,South,34,31-45,2,5-285,125.63,62.82
0,4,online,West,24,18-30,4,1234-3000,1875.2,468.80
1,1,in-store,North,53,46-61,2,583-1233,917.28,458.64
1,1,in-store,North,44,31-45,2,1234-3000,1254.8,627.40
1,1,in-store,North,55,46-61,2,1234-3000,1288.1,644.05
1,1,in-store,North,67,62-85,7,5-285,136.97,19.57
0,2,online,South,58,46-61,4,5-285,165.28,41.32
1,1,in-store,North,19,18-30,7,1234-3000,1995,285.00
0,2,online,South,80,62-85,1,5-285,13.109,13.11
0,2,online,South,58,46-61,7,5-285,200.31,28.62
0,2,online,South,73,62-85,5,5-285,34.782,6.96
1,1,in-store,North,38,31-45,6,286-582,368.29,61.38
0,4,online,West,62,62-85,5,1234-3000,1606,321.20
1,1,in-store,North,67,62-85,5,5-285,59.912,11.98
1,4,in-store,West,31,31-45,4,583-1233,1038,259.50
1,3,in-store,East,36,31-45,4,583-1233,701.57,175.39
0,2,online,South,48,46-61,7,5-285,86.411,12.34
1,4,in-store,West,26,18-30,8,5-285,199.46,24.93
0,2,online,South,32,31-45,3,5-285,122.55,40.85
1,4,in-store,West,28,18-30,2,583-1233,822.56,411.28
0,2,online,South,42,31-45,2,286-582,449.55,224.78
1,3,in-store,East,25,18-30,6,5-285,106.33,17.72
0,4,online,West,54,46-61,7,583-1233,670.42,95.77
1,3,in-store,East,74,62-85,2,583-1233,673.84,336.92
0,2,online,South,65,62-85,8,286-582,315.94,39.49
0,4,online,West,49,46-61,3,286-582,528.32,176.11
1,3,in-store,East,52,46-61,6,583-1233,625.5,104.25
0,4,online,West,30,18-30,7,583-1233,795.12,113.59
1,1,in-store,North,32,31-45,4,583-1233,659.64,164.91
1,1,in-store,North,48,46-61,2,583-1233,750.05,375.03
1,3,in-store,East,34,31-45,6,286-582,394.5,65.75
0,2,online,South,69,62-85,3,286-582,397.26,132.42
0,3,online,East,44,31-45,2,1234-3000,2795,1397.50
0,2,online,South,45,31-45,7,286-582,453.65,64.81
1,1,in-store,North,36,31-45,8,583-1233,813.28,101.66
1,1,in-store,North,26,18-30,3,1234-3000,1352.4,450.80
0,2,online,South,54,46-61,8,5-285,199.06,24.88
0,2,online,South,57,46-61,3,286-582,288.67,96.22
0,2,online,South,50,46-61,7,286-582,491.04,70.15
1,3,in-store,East,34,31-45,5,5-285,248.07,49.61
1,4,in-store,West,22,18-30,6,583-1233,1038.8,173.13
0,2,online,South,30,18-30,5,5-285,168.86,33.77
1,3,in-store,East,70,62-85,2,583-1233,888.08,444.04
0,4,online,West,39,31-45,2,1234-3000,2065.2,1032.60
0,4,online,West,26,18-30,8,1234-3000,1552.9,194.11
1,1,in-store,North,70,62-85,8,286-582,535.17,66.90
0,2,online,South,45,31-45,2,5-285,238.33,119.17
0,2,online,South,43,31-45,4,5-285,111.15,27.79
1,3,in-store,East,41,31-45,6,286-582,384.79,64.13
1,1,in-store,North,51,46-61,2,583-1233,1037,518.50
1,1,in-store,North,46,46-61,5,5-285,142.84,28.57
1,1,in-store,North,56,46-61,4,286-582,345.49,86.37
1,1,in-store,North,40,31-45,7,286-582,505.54,72.22
0,4,online,West,33,31-45,7,1234-3000,2693.1,384.73
1,4,in-store,West,27,18-30,1,1234-3000,1938.1,1938.10
1,1,in-store,North,26,18-30,6,5-285,59.045,9.84
1,4,in-store,West,36,31-45,7,5-285,162.1,23.16
0,2,online,South,60,46-61,4,286-582,389.27,97.32
1,1,in-store,North,26,18-30,7,583-1233,917.57,131.08
0,2,online,South,69,62-85,3,5-285,83.657,27.89
1,4,in-store,West,49,46-61,5,1234-3000,1284.8,256.96
1,1,in-store,North,38,31-45,6,583-1233,790.75,131.79
1,3,in-store,East,66,62-85,4,583-1233,713.9,178.48
1,4,in-store,West,27,18-30,7,583-1233,772.18,110.31
0,4,online,West,34,31-45,2,1234-3000,2627.4,1313.70
0,2,online,South,73,62-85,3,5-285,273.66,91.22
0,2,online,South,41,31-45,6,5-285,147.31,24.55
1,1,in-store,North,24,18-30,2,1234-3000,1700.7,850.35
0,3,online,East,25,18-30,8,583-1233,883.52,110.44
1,1,in-store,North,54,46-61,2,286-582,577.67,288.84
1,3,in-store,East,70,62-85,6,5-285,233.45,38.91
0,2,online,South,61,46-61,3,5-285,7.8557,2.62
0,2,online,South,61,46-61,7,5-285,98.789,14.11
1,3,in-store,East,33,31-45,7,583-1233,723.92,103.42
1,3,in-store,East,64,62-85,5,5-285,157.97,31.59
1,1,in-store,North,26,18-30,2,583-1233,867.2,433.60
1,1,in-store,North,71,62-85,5,583-1233,825.88,165.18
1,4,in-store,West,32,31-45,7,583-1233,895.25,127.89
0,2,online,South,71,62-85,1,5-285,166.93,166.93
1,3,in-store,East,47,46-61,2,5-285,147.64,73.82
1,4,in-store,West,29,18-30,5,1234-3000,1779.9,355.98
1,4,in-store,West,55,46-61,2,1234-3000,1860.2,930.10
0,4,online,West,63,62-85,4,1234-3000,2478.8,619.70
1,4,in-store,West,45,31-45,2,583-1233,941.78,470.89
0,2,online,South,84,62-85,6,286-582,473.72,78.95
0,3,online,East,49,46-61,3,1234-3000,1438.1,479.37
1,1,in-store,North,49,46-61,1,1234-3000,1931.5,1931.50
1,4,in-store,West,36,31-45,2,583-1233,884.4,442.20
1,4,in-store,West,35,31-45,4,286-582,295.24,73.81
1,1,in-store,North,26,18-30,6,5-285,90.492,15.08
1,1,in-store,North,46,46-61,7,583-1233,876.99,125.28
0,2,online,South,72,62-85,8,5-285,74.288,9.29
0,4,online,West,49,46-61,2,5-285,151.92,75.96
0,2,online,South,83,62-85,8,5-285,252.05,31.51
1,3,in-store,East,27,18-30,5,5-285,138.97,27.79
1,3,in-store,East,73,62-85,7,583-1233,881.48,125.93
0,2,online,South,51,46-61,5,286-582,391.63,78.33
1,1,in-store,North,42,31-45,3,583-1233,848.48,282.83
0,2,online,South,79,62-85,2,286-582,334.75,167.38
0,2,online,South,59,46-61,3,286-582,425.4,141.80
0,2,online,South,70,62-85,3,286-582,396.39,132.13
0,2,online,South,58,46-61,6,5-285,94.179,15.70
1,4,in-store,West,37,31-45,6,583-1233,932.36,155.39
1,3,in-store,East,54,46-61,6,583-1233,635.85,105.98
0,3,online,East,18,18-30,7,1234-3000,1913,273.29
1,1,in-store,North,43,31-45,6,1234-3000,1816.6,302.77
1,1,in-store,North,28,18-30,4,286-582,346.6,86.65
1,4,in-store,West,23,18-30,1,583-1233,787.04,787.04
0,2,online,South,47,46-61,3,286-582,366.59,122.20
1,3,in-store,East,58,46-61,5,286-582,437.24,87.45
0,2,online,South,64,62-85,3,5-285,254.33,84.78
1,1,in-store,North,40,31-45,8,286-582,483.71,60.46
1,3,in-store,East,69,62-85,3,583-1233,853.6,284.53
1,1,in-store,North,56,46-61,1,583-1233,669.13,669.13
1,1,in-store,North,65,62-85,4,286-582,386.28,96.57
0,2,online,South,30,18-30,2,286-582,460.76,230.38
0,2,online,South,37,31-45,7,286-582,358.55,51.22
0,4,online,West,19,18-30,8,583-1233,960.17,120.02
0,3,online,East,56,46-61,6,1234-3000,2860.3,476.72
0,4,online,West,35,31-45,6,5-285,243.44,40.57
0,4,online,West,32,31-45,3,286-582,553.64,184.55
1,3,in-store,East,37,31-45,4,286-582,532.46,133.12
1,3,in-store,East,31,31-45,6,286-582,440.51,73.42
0,2,online,South,53,46-61,3,286-582,358.4,119.47
0,2,online,South,69,62-85,3,5-285,63.05,21.02
1,3,in-store,East,38,31-45,3,286-582,473.53,157.84
1,4,in-store,West,20,18-30,8,1234-3000,1642.3,205.29
1,1,in-store,North,28,18-30,3,583-1233,759.93,253.31
0,2,online,South,30,18-30,3,5-285,89.388,29.80
1,3,in-store,East,44,31-45,4,286-582,415.76,103.94
0,4,online,West,36,31-45,6,1234-3000,1904.4,317.40
1,3,in-store,East,33,31-45,3,583-1233,752.83,250.94
0,2,online,South,56,46-61,8,286-582,299.8,37.48
1,4,in-store,West,44,31-45,6,583-1233,1044.7,174.12
0,2,online,South,84,62-85,4,5-285,64.083,16.02
0,3,online,East,28,18-30,6,583-1233,1154.9,192.48
1,3,in-store,East,65,62-85,2,286-582,556.7,278.35
0,2,online,South,58,46-61,3,286-582,393.68,131.23
1,3,in-store,East,57,46-61,5,286-582,577.77,115.55
0,4,online,West,32,31-45,2,1234-3000,2891.6,1445.80
1,4,in-store,West,40,31-45,5,583-1233,1147.6,229.52
1,4,in-store,West,36,31-45,3,1234-3000,1961.8,653.93
1,3,in-store,East,36,31-45,1,5-285,69.72,69.72
0,3,online,East,19,18-30,3,583-1233,754.33,251.44
1,4,in-store,West,20,18-30,6,583-1233,818.99,136.50
0,2,online,South,81,62-85,4,5-285,84.477,21.12
0,4,online,West,48,46-61,4,1234-3000,1356.3,339.08
0,2,online,South,61,46-61,6,5-285,230.4,38.40
1,1,in-store,North,48,46-61,2,1234-3000,1622.8,811.40
0,2,online,South,44,31-45,4,5-285,190.12,47.53
0,4,online,West,20,18-30,3,1234-3000,2737,912.33
0,3,online,East,57,46-61,3,1234-3000,2039.6,679.87
1,1,in-store,North,24,18-30,4,583-1233,703.08,175.77
0,4,online,West,34,31-45,8,1234-3000,1485.6,185.70
0,4,online,West,31,31-45,2,286-582,542.04,271.02
0,4,online,West,41,31-45,3,1234-3000,1881.8,627.27
0,2,online,South,38,31-45,6,5-285,5.4862,0.91
0,2,online,South,36,31-45,4,5-285,71.569,17.89
1,1,in-store,North,25,18-30,2,1234-3000,1703.1,851.55
0,2,online,South,69,62-85,2,286-582,304.18,152.09
1,4,in-store,West,46,46-61,6,583-1233,1187.8,197.97
0,2,online,South,29,18-30,6,286-582,477.39,79.57
1,1,in-store,North,68,62-85,7,286-582,493.28,70.47
0,4,online,West,47,46-61,3,1234-3000,1510.5,503.50
1,4,in-store,West,53,46-61,4,1234-3000,1793.1,448.28
0,3,online,East,36,31-45,4,1234-3000,2565.9,641.48
1,1,in-store,North,69,62-85,2,583-1233,604.29,302.15
1,4,in-store,West,50,46-61,6,286-582,371.61,61.94
0,3,online,East,53,46-61,5,1234-3000,2236.4,447.28
1,3,in-store,East,64,62-85,7,583-1233,950.59,135.80
1,1,in-store,North,48,46-61,4,583-1233,852.17,213.04
0,3,online,East,57,46-61,5,1234-3000,2556.2,511.24
0,2,online,South,50,46-61,3,5-285,100.03,33.34
0,3,online,East,43,31-45,4,5-285,230.41,57.60
1,4,in-store,West,54,46-61,1,1234-3000,1992.4,1992.40
1,3,in-store,East,70,62-85,4,286-582,371.37,92.84
0,4,online,West,18,18-30,6,1234-3000,1508.2,251.37
0,4,online,West,35,31-45,2,1234-3000,1864.3,932.15
1,4,in-store,West,21,18-30,7,583-1233,1191.2,170.17
1,1,in-store,North,68,62-85,7,286-582,405.51,57.93
1,4,in-store,West,28,18-30,7,583-1233,944.58,134.94
1,1,in-store,North,42,31-45,4,286-582,380.73,95.18
1,1,in-store,North,49,46-61,6,583-1233,975.6,162.60
1,4,in-store,West,26,18-30,8,583-1233,960.58,120.07
0,4,online,West,48,46-61,6,583-1233,1118.8,186.47
0,4,online,West,31,31-45,5,1234-3000,2303.1,460.62
1,3,in-store,East,73,62-85,1,286-582,358.87,358.87
0,4,online,West,48,46-61,2,1234-3000,2835.8,1417.90
1,1,in-store,North,54,46-61,5,286-582,331.86,66.37
1,4,in-store,West,20,18-30,6,583-1233,816.94,136.16
1,4,in-store,West,28,18-30,5,1234-3000,1492.5,298.50
1,1,in-store,North,37,31-45,4,1234-3000,1787,446.75
0,2,online,South,71,62-85,2,286-582,464.36,232.18
0,4,online,West,62,62-85,3,1234-3000,2599.5,866.50
1,4,in-store,West,27,18-30,6,1234-3000,1396.4,232.73
0,2,online,South,33,31-45,8,286-582,372.3,46.54
0,4,online,West,23,18-30,7,5-285,227.54,32.51
0,2,online,South,28,18-30,3,5-285,145.7,48.57
1,1,in-store,North,73,62-85,1,583-1233,587.95,587.95
0,2,online,South,41,31-45,3,5-285,107.98,35.99
1,4,in-store,West,25,18-30,3,1234-3000,1972.2,657.40
1,4,in-store,West,45,31-45,6,1234-3000,1751.8,291.97
1,4,in-store,West,31,31-45,2,1234-3000,1955.8,977.90
1,4,in-store,West,39,31-45,1,286-582,479.09,479.09
0,2,online,South,38,31-45,2,286-582,308.98,154.49
0,2,online,South,65,62-85,3,5-285,33.194,11.06
1,1,in-store,North,33,31-45,7,5-285,166.75,23.82
0,2,online,South,79,62-85,7,286-582,319.82,45.69
1,4,in-store,West,37,31-45,7,583-1233,1177.6,168.23
1,1,in-store,North,45,31-45,2,286-582,491.12,245.56
1,1,in-store,North,62,62-85,4,583-1233,892.21,223.05
1,4,in-store,West,44,31-45,5,583-1233,854.33,170.87
1,4,in-store,West,52,46-61,1,1234-3000,1518.6,1518.60
0,3,online,East,51,46-61,2,5-285,232.97,116.49
0,2,online,South,56,46-61,5,5-285,35.122,7.02
1,3,in-store,East,47,46-61,5,286-582,338.95,67.79
1,1,in-store,North,42,31-45,5,583-1233,710.63,142.13
0,2,online,South,83,62-85,6,5-285,141.47,23.58
1,3,in-store,East,42,31-45,6,583-1233,673.87,112.31
1,4,in-store,West,44,31-45,5,1234-3000,1723.2,344.64
0,4,online,West,44,31-45,7,1234-3000,2744.4,392.06
1,4,in-store,West,27,18-30,2,286-582,358.36,179.18
1,1,in-store,North,44,31-45,4,583-1233,699.5,174.88
0,4,online,West,48,46-61,7,1234-3000,2916.8,416.69
0,4,online,West,60,46-61,4,1234-3000,2721.3,680.33
1,4,in-store,West,35,31-45,2,583-1233,923.18,461.59
0,2,online,South,53,46-61,1,5-285,231.81,231.81
0,2,online,South,39,31-45,8,286-582,411.36,51.42
1,3,in-store,East,36,31-45,6,5-285,259.35,43.23
1,4,in-store,West,45,31-45,4,583-1233,944.34,236.09
1,4,in-store,West,37,31-45,3,1234-3000,1765.4,588.47
1,4,in-store,West,32,31-45,4,583-1233,975.31,243.83
1,1,in-store,North,54,46-61,2,583-1233,599.89,299.95
0,2,online,South,41,31-45,5,286-582,290.4,58.08
0,4,online,West,31,31-45,8,583-1233,867.73,108.47
1,3,in-store,East,70,62-85,3,583-1233,937.87,312.62
1,1,in-store,North,65,62-85,7,583-1233,947.68,135.38
0,2,online,South,44,31-45,2,5-285,34.684,17.34
1,1,in-store,North,41,31-45,1,5-285,242.73,242.73
1,1,in-store,North,56,46-61,7,286-582,557.46,79.64
1,1,in-store,North,21,18-30,2,1234-3000,1552.6,776.30
0,2,online,South,56,46-61,1,5-285,258.86,258.86
1,1,in-store,North,25,18-30,7,5-285,236.99,33.86
1,1,in-store,North,70,62-85,2,286-582,448.18,224.09
1,4,in-store,West,25,18-30,2,1234-3000,1699.9,849.95
1,4,in-store,West,52,46-61,3,286-582,439.51,146.50
1,3,in-store,East,49,46-61,7,583-1233,983.12,140.45
0,2,online,South,55,46-61,7,286-582,364.26,52.04
1,4,in-store,West,44,31-45,7,5-285,85.559,12.22
0,2,online,South,39,31-45,7,286-582,379.64,54.23
1,3,in-store,East,56,46-61,7,5-285,275.58,39.37
1,4,in-store,West,44,31-45,5,5-285,193.54,38.71
0,3,online,East,62,62-85,8,1234-3000,2312.6,289.08
1,3,in-store,East,73,62-85,6,583-1233,699.78,116.63
1,1,in-store,North,43,31-45,5,1234-3000,1920.6,384.12
1,4,in-store,West,32,31-45,7,5-285,227.88,32.55
0,4,online,West,24,18-30,3,583-1233,831.04,277.01
1,4,in-store,West,38,31-45,6,583-1233,889.92,148.32
0,3,online,East,37,31-45,7,1234-3000,1903.6,271.94
0,2,online,South,69,62-85,4,286-582,368.09,92.02
0,2,online,South,62,62-85,2,5-285,188.09,94.05
0,2,online,South,47,46-61,7,5-285,196.43,28.06
1,3,in-store,East,54,46-61,7,286-582,435.36,62.19
0,2,online,South,38,31-45,6,5-285,262.73,43.79
1,1,in-store,North,37,31-45,4,5-285,279.77,69.94
0,2,online,South,75,62-85,4,5-285,200.88,50.22
1,3,in-store,East,70,62-85,8,583-1233,653.15,81.64
1,3,in-store,East,72,62-85,4,583-1233,751.71,187.93
1,3,in-store,East,34,31-45,5,5-285,87.399,17.48
1,4,in-store,West,28,18-30,8,1234-3000,1729.7,216.21
1,3,in-store,East,57,46-61,5,286-582,501.67,100.33
1,1,in-store,North,44,31-45,5,286-582,535.09,107.02
0,4,online,West,23,18-30,4,583-1233,904.14,226.04
0,4,online,West,35,31-45,4,1234-3000,2620.5,655.13
1,1,in-store,North,24,18-30,4,583-1233,804.09,201.02
0,2,online,South,70,62-85,5,286-582,361.94,72.39
0,2,online,South,55,46-61,2,5-285,241.51,120.76
0,2,online,South,31,31-45,3,286-582,380.26,126.75
1,1,in-store,North,27,18-30,7,583-1233,969.84,138.55
1,1,in-store,North,71,62-85,6,583-1233,839.85,139.98
0,2,online,South,61,46-61,4,286-582,352.08,88.02
1,1,in-store,North,48,46-61,6,1234-3000,1797.7,299.62
0,2,online,South,67,62-85,2,5-285,220.67,110.34
0,4,online,West,59,46-61,3,1234-3000,2842.1,947.37
0,4,online,West,28,18-30,5,1234-3000,2735.1,547.02
1,3,in-store,East,39,31-45,7,286-582,365.22,52.17
0,2,online,South,79,62-85,3,5-285,26.422,8.81
1,4,in-store,West,48,46-61,7,286-582,320.03,45.72
1,3,in-store,East,29,18-30,3,5-285,93.167,31.06
1,4,in-store,West,25,18-30,2,1234-3000,1823.3,911.65
0,4,online,West,31,31-45,6,1234-3000,2450.8,408.47
0,4,online,West,19,18-30,2,1234-3000,1305.2,652.60
0,2,online,South,66,62-85,7,5-285,121.48,17.35
0,2,online,South,78,62-85,3,5-285,131.34,43.78
1,1,in-store,North,64,62-85,1,583-1233,641.46,641.46
1,1,in-store,North,44,31-45,3,1234-3000,1863.3,621.10
1,1,in-store,North,21,18-30,5,583-1233,1019.3,203.86
0,2,online,South,79,62-85,4,286-582,411.37,102.84
0,2,online,South,75,62-85,7,5-285,184.97,26.42
1,4,in-store,West,49,46-61,6,1234-3000,1753.5,292.25
1,1,in-store,North,62,62-85,6,5-285,182.61,30.44
0,4,online,West,61,46-61,5,1234-3000,2108.2,421.64
0,2,online,South,85,62-85,1,5-285,110.29,110.29
0,2,online,South,42,31-45,8,5-285,227.53,28.44
1,3,in-store,East,56,46-61,4,583-1233,727.98,182.00
0,2,online,South,84,62-85,4,286-582,339.27,84.82
1,3,in-store,East,63,62-85,4,583-1233,826.55,206.64
1,1,in-store,North,45,31-45,5,5-285,197.11,39.42
0,3,online,East,51,46-61,5,583-1233,1221.3,244.26
1,4,in-store,West,46,46-61,5,1234-3000,1864.9,372.98
1,1,in-store,North,34,31-45,1,5-285,87.062,87.06
0,4,online,West,59,46-61,7,583-1233,1206.3,172.33
0,2,online,South,51,46-61,5,286-582,472.64,94.53
1,4,in-store,West,31,31-45,5,1234-3000,1773,354.60
0,2,online,South,58,46-61,2,5-285,92.43,46.22
0,2,online,South,64,62-85,6,286-582,445.28,74.21
1,4,in-store,West,24,18-30,6,583-1233,1026.6,171.10
1,1,in-store,North,41,31-45,5,583-1233,743.13,148.63
0,3,online,East,40,31-45,6,1234-3000,1741.3,290.22
0,2,online,South,72,62-85,3,286-582,348.88,116.29
0,3,online,East,59,46-61,1,286-582,489.21,489.21
1,4,in-store,West,27,18-30,3,583-1233,958.93,319.64
0,4,online,West,61,46-61,7,5-285,246.87,35.27
0,2,online,South,63,62-85,5,286-582,363.12,72.62
1,4,in-store,West,40,31-45,6,583-1233,870.3,145.05
0,2,online,South,56,46-61,4,5-285,224.44,56.11
0,2,online,South,36,31-45,8,5-285,98.938,12.37
1,4,in-store,West,39,31-45,2,5-285,174.35,87.18
1,1,in-store,North,45,31-45,7,583-1233,795.34,113.62
0,2,online,South,56,46-61,5,5-285,8.5569,1.71
0,3,online,East,40,31-45,8,583-1233,970.75,121.34
1,1,in-store,North,27,18-30,7,1234-3000,1288,184.00
0,3,online,East,38,31-45,6,286-582,560.17,93.36
0,4,online,West,21,18-30,2,1234-3000,1502.5,751.25
0,3,online,East,61,46-61,2,5-285,264.01,132.01
1,4,in-store,West,55,46-61,1,583-1233,855.52,855.52
0,2,online,South,47,46-61,2,5-285,281.68,140.84
1,3,in-store,East,53,46-61,6,286-582,513.05,85.51
1,1,in-store,North,49,46-61,5,583-1233,877.5,175.50
0,2,online,South,68,62-85,8,286-582,335.24,41.91
1,4,in-store,West,20,18-30,6,583-1233,819.4,136.57
1,4,in-store,West,30,18-30,3,5-285,95.838,31.95
1,4,in-store,West,53,46-61,8,1234-3000,1443.2,180.40
0,2,online,South,63,62-85,4,5-285,152.81,38.20
1,1,in-store,North,27,18-30,2,286-582,303.53,151.77
1,4,in-store,West,31,31-45,2,286-582,576.89,288.45
0,2,online,South,72,62-85,2,5-285,72.896,36.45
0,2,online,South,40,31-45,8,5-285,143.11,17.89
0,4,online,West,31,31-45,5,1234-3000,2148.5,429.70
0,4,online,West,61,46-61,5,1234-3000,1291,258.20
0,2,online,South,51,46-61,8,5-285,84.882,10.61
0,2,online,South,55,46-61,8,5-285,120.97,15.12
1,3,in-store,East,52,46-61,8,5-285,72.622,9.08
1,3,in-store,East,60,46-61,3,5-285,177.1,59.03
1,1,in-store,North,53,46-61,4,583-1233,867.54,216.89
1,1,in-store,North,22,18-30,6,286-582,570.5,95.08
1,3,in-store,East,32,31-45,2,286-582,511.41,255.71
0,4,online,West,52,46-61,4,583-1233,1086.5,271.63
0,3,online,East,30,18-30,4,286-582,292.65,73.16
0,4,online,West,56,46-61,1,583-1233,590.41,590.41
1,1,in-store,North,53,46-61,4,583-1233,1202.7,300.68
0,3,online,East,30,18-30,8,1234-3000,2607.3,325.91
1,4,in-store,West,47,46-61,3,583-1233,660.83,220.28
1,1,in-store,North,35,31-45,4,583-1233,775.46,193.87
1,4,in-store,West,39,31-45,7,583-1233,939.55,134.22
1,1,in-store,North,55,46-61,1,583-1233,1104.1,1104.10
0,3,online,East,30,18-30,6,286-582,470.17,78.36
1,4,in-store,West,27,18-30,1,5-285,98.333,98.33
0,2,online,South,36,31-45,5,286-582,400.1,80.02
0,4,online,West,55,46-61,4,1234-3000,2050.6,512.65
1,1,in-store,North,59,46-61,2,5-285,169.9,84.95
0,4,online,West,22,18-30,4,1234-3000,1934.2,483.55
